GeneSymbol	A21_05_C2_P5_547431	A21_05_C2_P5_337729	A21_05_C2_P5_498700	A21_05_C2_P5_155179	A21_05_C2_P5_253661	A21_05_C2_P5_272388	A21_05_C2_P5_720968	A21_05_C2_P5_704908	A21_05_C2_P5_848048	A21_05_C2_P5_90718	A21_05_C2_P5_348548	A21_05_C2_P5_327815	A21_05_C2_P5_424332	A21_05_C2_P5_791691	A21_05_C2_P5_145849	A21_05_C2_P5_225293	A21_05_C2_P5_406074	A21_05_C2_P5_207512	A21_05_C2_P5_687585	A21_05_C2_P5_242886	A21_05_C2_P5_709878	A21_05_C2_P5_649221	A21_05_C2_P5_135495	A21_05_C2_P5_59774	A21_05_C2_P5_84401	A21_05_C2_P5_380396	A21_05_C2_P5_133740	A21_05_C2_P5_641140	A21_05_C2_P5_692756	A21_05_C2_P5_607908	A21_05_C2_P5_60139	A21_05_C2_P5_481331	A21_05_C2_P5_119369	A21_05_C2_P5_326724	A21_05_C2_P5_715751	A21_05_C2_P5_407386	A21_05_C2_P5_158243	A21_05_C2_P5_528187	A21_05_C2_P5_177426	A21_05_C2_P5_356739	A21_05_C2_P5_227915	A21_05_C2_P5_670721	A21_05_C2_P5_336096	A21_05_C2_P5_198191	A21_05_C2_P5_380412	A21_05_C2_P5_554898	A21_05_C2_P5_398110	A21_05_C2_P5_168775	A21_05_C2_P5_873045	A21_05_C2_P5_228860	A21_05_C2_P5_695337	A21_05_C2_P5_454130	A21_05_C2_P5_699545	A21_05_C2_P5_278127	A21_05_C2_P5_94568	A21_05_C2_P5_589954	A21_05_C2_P5_88102	A21_05_C2_P5_105720	A21_05_C2_P5_305904	A21_05_C2_P5_716187	A21_05_C2_P5_411151	A21_05_C2_P5_241513	A21_05_C2_P5_146322	A21_05_C2_P5_76224	A21_05_C2_P5_425470	A21_05_C2_P5_629564	A21_05_C2_P5_96264	A21_05_C2_P5_451337	A21_05_C2_P5_706412	A21_05_C2_P5_278735	A21_05_C2_P5_264093	A21_05_C2_P5_676162	A21_05_C2_P5_626788	A21_05_C2_P5_796873	A21_05_C2_P5_747335	A21_05_C2_P5_318512	A21_05_C2_P5_507421	A21_05_C2_P5_164980	A21_05_C2_P5_535888	A21_05_C2_P5_642834	A21_05_C2_P5_868352	A21_05_C2_P5_111697	A21_05_C2_P5_377677	A21_05_C2_P5_167734	A21_05_C2_P5_416816	A21_05_C2_P5_762794	A21_05_C2_P5_642404	A21_05_C2_P5_470132	A21_05_C2_P5_117531	A21_05_C2_P5_118735	A21_05_C2_P5_787868	A21_05_C2_P5_410651	A21_05_C2_P5_420608	A21_05_C2_P5_789103	A21_05_C2_P5_29457	A21_05_C2_P5_522007	A21_05_C2_P5_640301
CEP290	0.000	0.394	0.431	0.000	0.000	0.000	0.458	0.000	0.000	0.448	0.000	0.000	0.466	0.474	0.809	0.000	0.493	1.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.519	0.000	0.515	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.558	1.149	0.000	0.000	0.000	0.000	0.560	0.558	0.563	0.000	0.000	0.000	0.000	0.597	0.000	0.588	0.000	0.000	0.000	0.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.629	0.000	0.000	0.000	0.000	1.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.000	0.000	0.000
CEP55	1.130	1.076	1.855	1.928	0.985	0.435	1.361	1.001	1.338	1.342	0.464	1.191	1.023	2.113	0.484	1.427	1.068	0.500	1.075	0.000	1.085	0.854	1.096	1.467	1.314	2.056	0.000	1.854	0.529	1.334	0.878	1.131	1.498	0.533	1.523	0.915	1.909	1.683	0.548	1.165	1.166	0.560	1.702	0.563	1.718	1.574	1.184	0.000	0.597	0.955	1.224	2.290	1.766	0.964	0.000	0.601	1.442	1.780	1.239	0.000	1.001	1.947	1.008	0.620	0.000	2.081	1.015	0.636	0.628	1.533	1.028	0.653	0.676	0.000	0.000	1.586	1.102	0.698	1.103	1.822	0.701	1.108	0.713	0.712	0.728	0.000	1.170	1.532	1.993	0.000	1.222	0.849	1.661	0.886	0.000	2.149	1.407
CEP78	0.350	0.394	0.431	0.428	0.000	0.738	0.770	0.000	0.446	0.000	1.019	0.453	0.000	0.000	0.484	0.000	0.821	0.500	0.827	0.831	0.000	0.000	0.509	0.848	0.000	0.000	0.000	0.515	0.529	0.530	0.000	0.530	0.527	0.533	0.000	0.000	0.000	0.548	0.900	0.000	0.000	0.000	0.558	0.000	0.567	0.929	0.000	0.583	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.592	0.600	0.000	0.000	0.621	0.000	0.626	0.620	0.000	0.629	1.015	0.000	0.000	1.035	0.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.792	0.000	0.784	0.787	0.000	0.000	0.000	0.000	0.000	0.000
CFH	0.000	0.896	0.431	0.000	0.000	0.738	0.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.530	0.878	0.000	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.671	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CFHR1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CFI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CH25H	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHAC1	0.000	0.394	0.431	0.000	0.000	0.000	0.000	0.000	0.446	0.448	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.000	0.000	0.499	0.835	0.515	0.845	0.000	0.000	0.000	0.513	0.000	0.000	0.000	0.532	0.000	0.000	0.533	0.000	0.558	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.588	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.713	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.922	0.933
CHAF1A	0.000	0.000	0.000	0.000	1.334	0.000	0.000	1.001	0.000	0.756	0.000	0.453	0.783	0.474	0.000	0.000	0.493	0.000	0.827	0.499	0.000	0.515	0.000	0.000	0.000	0.000	1.471	0.515	0.000	1.131	0.532	0.530	0.000	0.000	0.000	0.000	0.891	0.548	0.900	0.551	0.000	0.000	0.558	0.000	0.000	0.000	0.563	0.000	0.000	0.955	0.588	0.000	0.000	0.964	1.235	1.244	0.000	0.000	1.239	0.995	0.621	0.000	0.626	0.000	1.283	0.000	0.631	1.516	1.011	0.000	0.000	1.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.701	0.000	0.000	0.712	0.728	0.000	1.170	0.000	0.000	1.218	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHAF1B	0.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.448	0.000	0.763	0.783	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.000	0.000	0.000	1.161	0.000	0.000	0.000	0.917	0.000	0.000	0.000	0.000	0.000	0.000	0.968	0.000	0.000	0.000	0.000	0.594	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.922	0.000
CHGA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHI3L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHN1	0.000	0.676	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.519	0.000	0.515	0.000	0.000	0.000	0.000	0.000	0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.629	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.671	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.712	0.000	0.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRDL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRNA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRNA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHST1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHST15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.698	0.000	0.000	0.000	0.000	0.000	0.000	0.728	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CILP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CILP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CIP2A	0.814	0.896	0.431	0.428	0.000	0.000	0.458	0.000	0.753	0.448	0.464	0.000	1.023	1.036	0.809	1.064	0.493	0.000	0.000	0.499	0.000	0.515	0.000	1.099	0.859	0.860	0.000	0.515	0.529	0.530	0.000	0.875	0.000	0.878	0.541	0.000	0.891	1.161	0.548	0.551	0.552	0.000	0.558	0.563	0.567	0.568	0.563	0.583	0.000	0.000	0.956	0.592	0.962	0.000	0.000	0.000	0.592	0.000	0.969	0.000	1.001	0.000	0.000	0.620	0.626	1.013	0.000	0.000	1.011	1.035	1.028	0.000	0.000	0.665	0.671	0.000	1.102	0.698	0.000	1.123	0.701	0.700	1.125	0.712	0.000	0.000	0.000	0.792	0.819	0.784	0.787	0.000	0.000	0.000	0.000	0.000	0.933
CIT	0.000	0.394	0.962	0.957	0.000	0.000	0.000	0.000	0.000	0.448	0.000	0.453	0.000	0.000	0.484	1.064	0.000	0.000	0.000	0.499	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.530	0.000	0.530	0.527	0.000	0.541	0.000	0.542	0.000	0.000	0.904	0.000	0.560	1.176	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.595	0.601	0.000	0.000	0.000	0.000	0.000	0.620	0.626	0.620	0.000	0.629	0.000	0.000	0.000	0.646	0.641	0.653	0.000	0.665	0.000	0.000	1.102	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.819	0.000	0.000	0.000	0.885	0.000	0.906	0.000	1.407
CITED2	1.369	0.896	1.307	1.437	1.174	0.970	0.770	1.989	1.704	1.342	1.019	0.763	1.848	1.657	1.414	0.818	1.573	1.279	1.075	1.444	1.284	1.619	0.845	2.121	0.859	1.315	1.304	1.474	1.332	2.312	1.891	0.875	1.498	1.653	0.541	0.915	1.354	0.548	2.024	0.904	0.552	1.180	1.702	0.000	1.190	0.568	0.921	1.879	1.626	0.955	1.435	0.592	1.231	1.899	1.448	2.223	0.592	1.631	0.000	1.484	1.491	1.489	1.008	1.490	1.283	1.289	0.000	0.000	1.011	1.533	1.855	1.325	1.762	0.000	1.068	1.080	0.000	1.617	0.696	0.000	1.109	1.397	2.232	1.978	1.849	1.892	0.000	1.952	1.569	0.784	2.358	1.301	0.000	1.348	1.373	0.922	1.728
CITED4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.484	0.000	0.000	0.000	0.497	0.499	0.000	0.515	0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKAP2	1.369	1.843	1.670	0.957	0.000	0.000	1.500	0.453	1.178	0.000	0.779	0.000	0.783	1.534	1.679	1.902	0.000	0.831	0.827	0.831	1.284	0.854	1.096	1.735	1.314	1.315	0.851	1.854	0.529	0.875	1.507	1.774	1.126	0.878	1.353	1.384	1.149	0.901	0.000	0.551	0.905	0.917	0.914	0.563	1.718	1.850	1.184	0.950	0.000	1.609	1.224	2.205	1.766	0.594	0.000	0.000	1.617	1.780	0.000	0.000	1.949	1.947	1.500	2.167	0.000	1.683	1.015	0.000	0.000	1.314	1.525	0.000	0.000	1.061	0.671	1.921	0.000	0.698	1.103	1.638	1.398	1.397	1.125	2.231	0.000	0.000	0.747	1.229	0.819	0.000	1.222	0.849	1.346	1.348	0.906	0.922	0.933
CKAP2L	0.609	1.228	1.149	1.143	0.444	0.000	1.008	0.764	0.988	1.601	1.513	1.719	0.783	0.794	0.809	1.262	1.068	0.500	0.000	0.831	1.085	0.854	0.509	1.467	0.859	0.519	0.851	1.306	1.332	1.648	0.532	1.987	0.871	0.878	0.890	0.558	1.354	1.537	0.900	0.000	1.166	0.000	0.914	2.055	0.000	0.568	0.563	0.000	0.000	1.757	0.000	1.617	0.000	0.000	0.000	0.000	0.961	1.243	0.597	0.000	1.276	1.816	0.626	1.000	1.008	1.289	1.686	1.022	1.011	2.216	1.307	0.653	0.000	1.061	0.671	0.679	1.390	1.105	0.696	1.123	1.109	0.000	1.125	0.000	0.000	1.180	0.747	0.792	1.804	0.000	0.000	1.301	1.346	0.000	0.906	0.922	0.000
CKAP4	2.239	1.917	1.936	2.363	2.453	2.523	1.999	2.262	2.634	2.052	2.160	2.318	2.294	2.370	2.060	2.289	2.708	2.172	2.366	1.821	2.018	1.856	2.508	2.269	2.216	2.216	2.341	1.617	2.376	1.987	2.316	2.240	2.911	2.317	2.185	2.440	2.526	2.351	2.699	2.357	2.032	2.507	2.372	2.572	2.062	2.158	1.952	2.956	2.644	2.733	2.002	1.895	1.231	2.447	2.297	2.460	1.442	1.910	2.216	2.684	2.749	2.630	1.959	2.691	1.958	1.965	2.084	2.291	1.963	2.111	2.672	2.966	2.366	2.433	2.157	1.921	2.084	2.088	1.391	2.431	2.579	1.958	2.232	1.640	2.005	0.755	2.581	2.110	1.569	2.727	2.102	1.848	2.970	1.902	2.124	1.954	2.468
CKAP5	0.814	0.896	1.149	1.437	0.000	0.000	0.770	1.192	0.446	1.182	1.212	1.191	0.466	1.036	1.414	1.692	0.000	0.000	0.827	0.831	0.835	0.000	0.845	0.511	1.626	0.860	0.000	1.474	1.501	0.875	0.878	0.875	1.329	1.339	0.890	1.177	0.891	1.367	1.160	1.371	0.552	0.917	1.830	0.563	1.846	1.402	1.184	0.000	0.000	0.587	0.588	0.961	0.592	0.594	0.966	0.601	1.230	1.456	0.969	0.000	1.276	1.274	0.626	0.620	0.626	0.000	1.508	0.000	1.504	1.314	1.986	0.653	0.000	1.061	0.671	0.000	1.102	0.698	0.696	0.711	0.701	1.397	1.125	0.712	0.000	0.000	0.000	1.764	1.263	0.784	0.000	0.000	0.885	0.886	0.000	0.000	1.728
CKB	0.000	0.394	0.731	0.000	0.000	0.000	1.200	0.000	0.000	0.756	0.464	0.453	0.466	0.794	0.809	1.064	0.821	0.500	0.000	0.000	0.835	0.000	0.000	0.848	0.000	0.000	0.513	1.105	0.000	0.875	0.532	0.530	0.000	0.533	0.000	0.915	0.000	0.548	0.000	0.000	0.000	0.000	0.558	0.000	0.567	0.000	0.921	0.950	0.000	0.587	0.956	0.000	0.000	0.594	0.595	0.000	1.230	0.972	1.239	1.484	1.001	0.620	0.000	0.000	1.283	0.000	0.000	1.022	0.000	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.698	0.000	0.000	0.000	0.700	0.713	0.000	0.000	0.000	0.747	0.792	0.000	1.218	0.000	0.000	0.000	0.000	0.000	0.922	0.000
CKS1B	0.984	1.076	1.443	1.301	0.751	0.000	1.200	0.453	1.338	0.992	0.464	0.763	0.466	0.474	1.054	1.064	0.493	0.500	0.497	0.499	1.085	0.000	1.296	1.099	1.482	1.627	0.513	1.105	1.129	1.131	0.000	1.131	0.000	1.135	1.148	0.558	1.525	0.548	0.548	0.551	0.000	0.560	1.176	0.921	0.567	1.193	0.000	0.000	0.000	1.223	1.435	0.592	1.231	1.234	0.000	0.000	1.442	0.972	0.000	0.000	1.668	1.947	1.008	1.000	0.000	1.505	1.292	1.022	0.000	0.000	0.000	0.000	1.075	1.061	1.068	0.000	0.696	1.105	0.696	0.711	0.000	0.700	1.125	1.415	0.000	0.755	0.000	1.229	1.804	0.000	1.222	1.848	1.346	0.886	1.373	0.000	0.933
CKS2	2.193	2.049	2.370	2.003	0.985	0.000	2.145	1.001	2.117	1.182	1.635	1.489	1.379	2.704	2.395	2.409	0.000	0.831	1.274	1.444	1.592	0.854	2.116	2.399	2.584	1.864	1.614	2.465	2.439	1.648	0.532	2.240	1.329	1.779	2.580	1.384	2.264	1.683	0.548	2.030	1.544	1.706	1.702	0.563	2.390	2.640	0.921	0.950	0.968	1.223	1.610	3.053	2.511	0.000	0.595	0.601	2.794	2.760	1.451	0.617	1.276	2.630	2.438	2.947	0.626	2.766	1.837	1.299	1.681	1.533	1.986	0.653	2.049	1.745	1.352	2.372	1.614	2.648	1.797	1.414	0.701	2.721	1.980	2.926	0.000	0.000	0.747	2.475	2.411	0.784	2.238	2.459	1.661	1.348	2.426	1.713	1.970
