GeneSymbol	A21_05_C2_P5_545951	A21_05_C2_P5_384994	A21_05_C2_P5_221712	A21_05_C2_P5_601556	A21_05_C2_P5_49590	A21_05_C2_P5_118756	A21_05_C2_P5_203250	A21_05_C2_P5_654053	A21_05_C2_P5_883316	A21_05_C2_P5_70210	A21_05_C2_P5_549054	A21_05_C2_P5_426546	A21_05_C2_P5_594341	A21_05_C2_P5_463199	A21_05_C2_P5_848473	A21_05_C2_P5_709356	A21_05_C2_P5_871294	A21_05_C2_P5_568837	A21_05_C2_P5_326028	A21_05_C2_P5_74255	A21_05_C2_P5_458390	A21_05_C2_P5_638128	A21_05_C2_P5_12534	A21_05_C2_P5_602273	A21_05_C2_P5_474110	A21_05_C2_P5_365897	A21_05_C2_P5_876552	A21_05_C2_P5_709733	A21_05_C2_P5_436945	A21_05_C2_P5_1191	A21_05_C2_P5_473595	A21_05_C2_P5_618353	A21_05_C2_P5_631078	A21_05_C2_P5_762777	A21_05_C2_P5_711218	A21_05_C2_P5_94948	A21_05_C2_P5_441382	A21_05_C2_P5_145873	A21_05_C2_P5_319708	A21_05_C2_P5_560698	A21_05_C2_P5_716471	A21_05_C2_P5_884718
AC241584.1	0.000	0.000	0.000	0.501	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC253572.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACAT2	0.000	0.000	0.451	0.501	0.527	0.525	0.532	0.000	0.000	0.891	0.542	0.000	0.000	1.189	0.572	0.568	0.930	0.583	0.000	0.000	0.994	0.000	0.642	0.000	0.000	0.000	0.000	0.675	0.000	1.120	0.000	0.727	0.741	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACBD7	0.000	0.000	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACKR3	0.000	1.204	0.000	0.000	0.000	0.000	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.000	1.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.727	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACKR4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACLY	0.371	1.011	0.997	0.501	1.768	1.638	0.878	0.000	1.362	0.542	1.525	0.558	0.560	0.926	0.572	1.401	0.000	0.949	0.593	0.000	0.615	1.811	1.527	1.555	0.000	0.664	0.000	1.074	0.685	1.411	1.441	0.727	0.741	0.000	1.598	0.831	1.304	0.000	1.644	0.000	1.780	1.096
ACP5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACSL4	0.000	1.365	1.188	0.833	1.126	0.525	1.134	1.520	1.362	1.354	1.355	0.914	0.560	0.566	0.000	1.193	2.160	0.000	0.963	1.477	0.994	0.995	1.527	1.053	1.058	0.664	1.073	1.580	0.685	0.710	1.441	0.727	0.741	0.827	1.598	0.000	0.000	0.000	1.331	0.000	0.972	0.000
ACTA2	0.642	1.011	0.000	0.501	0.000	2.489	0.000	0.539	0.546	0.000	2.011	0.914	1.833	0.926	1.199	1.193	0.569	0.000	1.233	0.000	0.615	1.661	0.000	0.659	0.000	0.000	1.073	0.675	0.000	0.710	1.441	1.143	2.725	0.000	0.000	0.000	0.851	0.000	1.331	1.438	0.000	0.000
ACTB	4.735	4.797	4.958	4.578	5.031	4.895	4.487	5.198	5.033	4.892	5.101	4.780	4.460	5.062	4.964	4.822	5.249	4.635	4.788	4.890	5.223	4.853	5.089	5.437	4.545	4.890	4.852	4.967	4.729	4.820	5.135	5.042	4.801	4.632	4.845	4.518	5.037	4.981	5.571	4.864	4.696	5.239
ACTBL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACTN1	1.988	1.921	2.129	2.313	2.073	2.648	1.991	2.097	2.196	2.187	2.011	1.943	1.705	0.926	2.166	2.065	2.067	1.216	2.935	2.484	2.158	2.340	2.304	2.502	2.026	1.060	1.358	2.531	1.375	2.332	2.262	1.847	1.161	1.816	2.024	1.822	2.203	1.316	2.496	1.761	2.025	2.562
ACVR1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACVR2A	0.000	0.000	0.000	0.000	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	1.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.539	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAM12	1.704	1.365	1.188	1.282	1.880	1.122	0.878	0.887	0.897	0.542	1.670	1.384	0.560	0.566	1.581	0.928	0.569	0.000	0.963	0.613	0.615	0.000	1.030	0.000	0.000	0.664	1.073	1.580	1.597	1.636	0.730	0.000	0.000	0.000	0.839	1.278	1.304	1.628	1.331	0.000	0.000	0.000
ADAM19	0.371	0.000	0.451	0.000	0.871	0.000	0.000	0.000	0.897	0.542	0.891	0.558	0.560	0.000	0.000	0.000	0.000	0.000	0.963	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.675	0.000	0.710	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.438	0.972	0.000
ADAMTS1	0.000	2.003	0.451	1.825	0.527	1.494	0.878	1.792	0.897	1.909	1.670	0.558	2.048	1.846	1.199	0.568	3.004	1.427	0.963	1.263	0.994	1.484	1.030	1.053	0.000	2.344	1.913	1.074	1.597	1.636	3.013	1.143	0.000	3.072	0.839	1.586	0.000	0.000	0.872	0.958	0.972	2.194
ADAMTS2	0.371	0.773	0.761	0.000	0.871	1.122	0.878	1.145	0.000	0.000	0.000	0.000	0.560	0.926	0.934	0.928	1.403	0.000	0.593	0.613	0.615	0.617	0.000	0.000	0.663	0.664	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.839	1.278	0.851	0.860	0.872	0.000	0.000	0.000
ADAMTS5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAMTS8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAMTS9-AS2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAMTSL4	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000
ADAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCY1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCY2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCYAP1R1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADGRG6	0.854	1.011	0.761	1.448	0.527	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.560	0.566	0.572	0.000	0.000	0.000	1.445	0.000	0.000	0.617	0.000	1.053	0.000	0.000	1.358	1.074	1.088	1.120	0.000	0.000	0.741	0.827	0.839	0.000	0.000	0.000	0.000	0.000	0.000	1.096
ADH1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADH1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADIRF	0.000	0.000	0.000	0.000	0.000	0.525	0.532	0.539	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.949	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.710	0.000	0.000	0.000	0.000	0.000	0.000	1.304	0.000	0.000	0.000	0.000	1.096
ADM	0.000	0.000	0.000	0.000	0.527	0.525	0.000	0.000	1.156	1.149	1.150	0.000	0.000	0.926	0.000	1.849	0.569	0.000	0.000	0.000	2.055	0.617	0.000	0.659	0.000	0.000	0.674	0.675	0.000	1.411	0.000	0.000	0.741	1.274	0.839	0.000	0.000	0.860	0.872	0.000	1.780	0.000
ADM2	0.854	0.000	0.000	0.000	0.000	0.525	0.532	0.000	0.000	0.000	0.542	0.000	0.560	0.000	0.572	0.000	0.000	0.000	0.000	0.613	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.316	0.000	0.000	0.000	0.000
ADRA2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AHR	0.000	0.000	1.188	0.000	1.329	0.000	0.000	0.000	0.000	0.000	0.542	0.558	0.000	0.000	0.000	0.568	0.000	0.000	0.000	0.613	0.000	0.000	0.000	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AIM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AK4	0.000	0.000	0.000	1.282	0.871	0.525	0.532	1.145	0.897	0.891	0.000	0.558	0.560	0.000	1.199	1.193	0.930	0.000	0.963	0.613	0.615	0.617	0.642	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.727	0.000	0.000	1.598	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AK5	0.000	0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.710	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AKAP12	0.371	0.459	0.000	0.000	0.000	1.325	1.652	0.539	0.000	0.000	1.797	0.000	0.000	0.566	0.572	1.401	0.569	0.000	0.000	0.000	0.000	0.995	0.642	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.827	0.000	0.000	0.851	0.000	0.000	0.958	0.000	1.096
AKAP6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AKR1B10	0.000	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AKR1C2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL031777.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL109918.1	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.401	0.000	0.000	0.593	0.000	0.000	0.000	1.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
AL136131.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL139393.3	0.000	0.000	0.451	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL158063.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL353726.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL353898.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL356056.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000
AL391056.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL662907.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL672207.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALCAM	0.854	1.832	2.470	2.490	1.329	1.494	1.778	1.904	1.533	1.670	1.670	1.702	0.916	1.718	1.857	0.928	2.642	1.878	0.593	1.654	1.939	0.995	1.857	1.335	1.058	2.145	1.760	1.914	2.066	1.819	2.368	1.436	1.161	2.532	1.834	2.012	1.615	1.865	0.872	2.837	0.972	2.194
ALDH1A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALDH1A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALDH1A3	0.371	0.000	0.997	0.000	0.000	0.000	0.000	0.000	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.990	0.000	0.617	0.642	0.000	0.000	0.000	0.000	0.000	0.685	0.710	0.000	0.000	0.000	0.000	0.839	0.831	0.000	0.000	0.000	0.000	0.000	0.000
ALPL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALYREF	0.642	0.773	1.348	0.501	0.527	0.868	1.134	0.000	1.156	0.000	0.891	0.558	0.560	0.926	0.934	1.401	1.576	0.583	1.233	0.613	1.267	0.617	1.030	0.000	0.663	1.060	1.073	0.000	1.375	1.411	0.730	1.436	1.161	1.581	1.289	0.831	0.000	1.316	1.331	0.000	1.780	0.000
AMD1	1.178	0.000	0.997	0.501	0.000	0.525	1.338	0.539	0.897	0.542	1.525	0.558	0.560	0.926	1.199	0.000	0.000	0.583	0.593	0.613	0.994	0.617	0.000	0.000	0.000	0.000	0.000	0.675	1.375	0.000	0.000	0.727	0.741	0.000	0.839	0.831	0.000	0.860	1.331	0.958	0.000	1.607
AMOTL2	0.642	1.204	0.997	0.501	1.126	0.525	0.878	1.904	0.897	0.891	1.670	0.914	0.916	1.398	0.934	0.568	0.000	0.583	0.593	0.613	0.615	0.995	1.706	0.659	0.000	1.060	1.579	0.675	1.088	0.000	1.147	1.143	1.684	0.827	0.839	0.000	0.000	0.860	0.000	0.958	0.972	0.000
ANGPT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.096
ANGPT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANGPTL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
ANGPTL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.193	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.851	0.000	0.000	0.958	0.000	0.000
ANGPTL4	0.000	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANK3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKH	0.371	0.459	1.348	1.448	0.871	0.868	1.991	2.330	0.897	0.000	1.150	0.558	1.179	0.000	1.408	0.568	1.403	1.427	0.000	0.613	0.615	0.617	0.642	0.000	0.000	1.896	1.579	0.000	0.000	0.710	0.000	0.000	1.161	2.166	0.000	1.278	0.851	0.860	0.872	0.000	0.000	1.096
ANKRD33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD36C	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.887	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.000	0.000	0.741	0.000	0.839	0.831	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD37	0.000	0.459	0.000	0.501	0.527	0.000	1.134	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.000	0.685	0.000	0.730	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD50	0.000	0.000	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.096
ANLN	2.208	1.626	2.195	2.016	0.527	0.525	0.532	1.520	1.918	1.797	1.910	1.702	0.916	1.718	1.857	1.193	0.930	0.000	1.445	1.654	1.482	0.000	1.030	2.020	1.741	1.743	0.000	1.580	1.375	0.000	0.730	2.137	2.161	1.274	2.024	1.278	1.615	0.000	1.331	1.761	1.456	1.607
ANO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANO4	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
